0,Poblacion
Aguascalientes,1425627
Baja California,3769040
Baja California Sur,798467
Campeche,928383
Coahuila,3146791
Colima,731411
Chiapas,5543848
Chihuahua,3741889
Ciudad de México,9209964
Durango,1832670
Guanajuato,6166954
Guerrero,3540705
Hidalgo,3082861
Jalisco,8348171
México,16992438
Michoacán ,4748866
Morelos,1971540
Nayarit,1235476
Nuevo León,5784462
Oaxaca,4132168
Puebla,6583298
Querétaro,2368487
Quintana Roo,1858005
San Luis Potosí,2822275
Sinaloa,3026963
Sonora,2944860
Tabasco,2402618
Tamaulipas,3527755
Tlaxcala,1342997
Veracruz ,8062599
Yucatán,2320918
Zacatecas,1622158
